PO_NUMBER,SO_NUMBER,STATUS,BLOCK_CODE,BLOCK_REASON,FAILURE_REASON,RFC_ERROR_CODE,RFC_MESSAGE,SALES_ORG,CUSTOMER_NAME,SOURCE_FILE,RUN_TIMESTAMP,_extracted_at,_source_table
1245919,0001536642,SUCCESS,,,,,,2500,ABB Cable Management Products Ltd,Sold-to 4020028890 - Material 8756.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
2138,0001536643,SUCCESS,,,,,,2545,Ergotech SRL,Sold-to 4020000140 - Material 931.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
2600087,0001536841,SUCCESS,,,,,,2540,METROX - PLAST Sp. z o.o,Order 2600087 Durethan 5T.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
37666,0001536644,SUCCESS,,,,,,2500,STEBRO PLAST AB,Sold-to 4020032023 - Material 19277.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
4500145024,0001536842,SUCCESS,,,,,,2540,L. Brüggemann GmbH & Co. KG,Bestellung  Brueggemann.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
460029462,0001536645,SUCCESS,,,,,,2700,NAGASE SINGAPORE (PTE) LTD,460029462 POCAN BF4219 540147_AAMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
510 / 52037575,0001536782,SUCCESS,,,,,,2540,SIG Procurement AG,PO 52037575.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
75809,0001536646,SUCCESS,,,,,,2600,ABC Technologies (fka dlhBOWLES),_DLH_PURCHORD (1) (1)_AAMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE-25-01212,0001536599,SUCCESS,,,,,,2500,MF Folien GmbH,Bestellung BE-25-01212.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
EB022868,0001536647,SUCCESS,,,,,,2540,Erwin Quarder CZ s.r.o,DOC270726-27072026093727.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
P00QM1V,0001536445,SUCCESS,,,,,,2710,ASAHI KASEI ADVANCE CORPORATION ASAHI KASEI ADVANCE CORPORATIONPerformance Plast,9.1納品_AAMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
P2026070003850,0001536648,SUCCESS,,,,,,2710,"GLOBAL POLYACETAL CO., LTD.",GPAC注文書_1000030223GK101_20260721140822921_AAMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
P2026070003860,0001536446,SUCCESS,,,,,,2710,"GLOBAL POLYACETAL CO., LTD.",GPAC注文書_1000030223GK101_20260721140924280_AAMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
1013679682,0001536546,SUCCESS,,,,,,2700,上海莫仕连接器有限公司,Molex PO1013679682_20250728_031508.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
11861686,0001536547,SUCCESS,,,,,,2780,Pegasus Polymers Pte. Ltd,Purchase Order  (11861686)-1.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
121020125612,0001536548,SUCCESS,,,,,,2730,FOXCONN (KUNSHAN) COMPUTER CONNECTO,9178f76d-e7ed-4446-b17a-616ce3befa3f.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
