message_id,subject,received_date,status,error_log,created_at,updated_at,source_file,so_number,block_code,block_reason,stage,conversation_id,attachments,sender_email
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoKgAAAA==,FW: Touchless orders - benötige PO Kopien (möglichst heute),2026-06-12T12:15:27Z,PENDING_STAGE2,,2026-06-12 12:55:53,2026-07-10 08:05:33,body_aqmkagez_fw_ touchless orders - benötige po kopien (möglichst heute).txt,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoLAAAAA==,FW: Bestellung BE-26-00587; 1506404; 1506403 SO# BE-26-00587,2026-06-12T12:15:58Z,ROBONA_SENT,,2026-06-12 12:55:49,2026-07-20 10:52:41,body_aqmkagez_fw_ bestellung be-26-00587; 1506404; 1506403 so# be-26-00587.txt,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoLgAAAA==,FW: FOR TESTING WG: Bestellung BE-26-00858; 1519728; 1519731; 1519732; 1519733; 1519734; 1519736; 1519738; 1519739; 1519740; 1519742 SO# BE-26-00858,2026-06-12T12:15:59Z,ROBONA_SENT,,2026-06-12 12:55:46,2026-07-27 12:16:13,body_aqmkagez_fw_ for testing wg_ bestellung be-26-00858; 1519728; 1519731; 1519732; 1519733; .txt,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoMAAAAA==,FW: Yeni sipariş: 1002134183  // FOR TESTING,2026-06-12T12:15:59Z,ROBONA_SENT,,2026-06-12 12:55:42,2026-07-16 09:32:37,po_1002134183_aqmkagez.pdf,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoMgAAAA==,FW: BAP SK/ PO 4500090003 FOR TESTING,2026-06-12T12:16:00Z,ROBONA_SENT,,2026-06-12 12:55:38,2026-07-16 09:32:02,po 4500090003_aqmkagez.pdf,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoNAAAAA==,FW: VO-2026-311-000149 / FOR TESTING,2026-06-12T12:16:01Z,ROBONA_SENT,,2026-06-12 12:55:33,2026-07-27 12:16:08,vo-2026-311-000149_aqmkagez.pdf,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoNgAAAA==,FW: Durethan BKV 30 FN04 901510 - for TESTING,2026-06-12T12:16:01Z,ROBONA_SENT,,2026-06-12 12:55:29,2026-07-16 09:31:59,4500029652 envalior_aqmkagez.pdf,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoOAAAAA==,FW: new order EB022692 - Arnite TV4 261/A mit 30% Glasfasern // FOR TESTING,2026-06-12T12:16:02Z,PENDING_STAGE2,,2026-06-12 12:55:25,2026-07-10 08:05:33,doc010626-01062026071456_aqmkagez.pdf,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoOgAAAA==,FW: Megrendelés - 4800013671 // FOR TESTING,2026-06-12T12:16:03Z,PENDING_STAGE2,,2026-06-12 12:55:20,2026-07-10 08:05:33,envalior-2026-04-13_aqmkagez.pdf,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoPAAAAA==,FW: 852915: PA6GF30 Durethan BKV30 H2.0 901510 black FOR TESTING,2026-06-12T12:16:04Z,PENDING_STAGE2,,2026-06-12 12:55:13,2026-07-10 08:05:33,body_aqmkagez_fw_ 852915_ pa6gf30 durethan bkv30 h2.0 901510 black for testing.txt,,,,1,,,
